Id. de pedido;Cliente;Empleado;Fecha de pedido;Fecha de entrega;Fecha de envío;Forma de envío;Cargo;Nombre de destinatario;Dirección de destinatario;Ciudad de destinatario;Región de destinatario;Código postal de destinatario;País de destinatario
11345;ERNSH;1;17/7/2018 00:00;14/8/2018 00:00;23/7/2018 00:00;1;$ 140,51;Ernst Handel;Kirchgasse 6;Graz;;8010;Austria
11346;CENTC;4;18/7/2018 00:00;15/8/2018 00:00;25/7/2018 00:00;3;$ 3,25;Centro comercial Moctezuma;Sierras de Granada 9993;México D.F.;;5022;México
11347;OTTIK;4;19/7/2018 00:00;16/8/2018 00:00;29/7/2018 00:00;1;$ 55,09;Ottilies Käseladen;Mehrheimerstr. 369;Köln;;50739;Alemania
11348;QUEDE;4;19/7/2018 00:00;16/8/2018 00:00;30/7/2018 00:00;2;$ 3,05;Que Delícia;Rua da Panificadora, 12;Río de Janeiro;RJ;02389-673;Brasil
11349;RATTC;8;22/7/2018 00:00;19/8/2018 00:00;25/7/2018 00:00;3;$ 48,29;Rattlesnake Canyon Grocery;2817 Milton Dr.;Albuquerque;NM;87110;Estados Unidos
11350;ERNSH;9;23/7/2018 00:00;20/8/2018 00:00;31/7/2018 00:00;3;$ 146,06;Ernst Handel;Kirchgasse 6;Graz;;8010;Austria
11351;FOLKO;6;24/7/2018 00:00;21/8/2018 00:00;23/8/2018 00:00;3;$ 3,67;Folk och fä HB;Åkergatan 24;Bräcke;;S-844 67;Suecia
11352;BLONP;2;25/7/2018 00:00;22/8/2018 00:00;12/8/2018 00:00;1;$ 55,28;Blondel père et fils;24, place Kléber;Strasbourg;;67000;Francia
11353;WARTH;3;26/7/2018 00:00;6/9/2018 00:00;31/7/2018 00:00;3;$ 25,73;Wartian Herkku;Torikatu 38;Oulu;;90110;Finlandia
11354;FRANK;4;29/7/2018 00:00;26/8/2018 00:00;6/8/2018 00:00;1;$ 208,58;Frankenversand;Berliner Platz 43;München;;80805;Alemania
11355;GROSR;8;30/7/2018 00:00;27/8/2018 00:00;2/8/2018 00:00;3;$ 66,29;GROSELLA-Restaurante;5ª Ave. Los Palos Grandes;Caracas;DF;1081;Venezuela
11356;WHITC;5;31/7/2018 00:00;14/8/2018 00:00;9/8/2018 00:00;1;$ 4,56;White Clover Markets;1029 - 12th Ave. S.;Seattle;WA;98124;Estados Unidos
11357;WARTH;1;1/8/2018 00:00;29/8/2018 00:00;2/8/2018 00:00;1;$ 136,54;Wartian Herkku;Torikatu 38;Oulu;;90110;Finlandia
11358;SPLIR;6;1/8/2018 00:00;29/8/2018 00:00;30/8/2018 00:00;2;$ 4,54;Split Rail Beer & Ale;P.O. Box 555;Lander;WY;82520;Estados Unidos
11359;RATTC;6;2/8/2018 00:00;30/8/2018 00:00;6/8/2018 00:00;2;$ 98,03;Rattlesnake Canyon Grocery;2817 Milton Dr.;Albuquerque;NM;87110;Estados Unidos
11360;QUICK;3;5/8/2018 00:00;2/9/2018 00:00;12/8/2018 00:00;3;$ 76,07;QUICK-Stop;Taucherstraße 10;Cunewalde;;1307;Alemania
11361;VINET;6;6/8/2018 00:00;3/9/2018 00:00;16/8/2018 00:00;1;$ 6,01;Vins et alcools Chevalier;59 rue de l'Abbaye;Reims;;51100;Francia
11362;MAGAA;1;7/8/2018 00:00;4/9/2018 00:00;9/8/2018 00:00;1;$ 26,93;Magazzini Alimentari Riuniti;Via Ludovico il Moro 22;Bérgamo;;24100;Italia
11363;TORTU;8;8/8/2018 00:00;22/8/2018 00:00;14/8/2018 00:00;3;$ 13,84;Tortuga Restaurante;Avda. Azteca 123;México D.F.;;5033;México
11364;MORGK;2;9/8/2018 00:00;6/9/2018 00:00;13/8/2018 00:00;3;$ 125,77;Morgenstern Gesundkost;Heerstr. 22;Leipzig;;4179;Alemania
11365;BERGS;8;12/8/2018 00:00;9/9/2018 00:00;16/8/2018 00:00;2;$ 92,69;Berglunds snabbköp;Berguvsvägen  8;Luleå;;S-958 22;Suecia
11366;LEHMS;8;13/8/2018 00:00;10/9/2018 00:00;16/8/2018 00:00;2;$ 25,83;Lehmanns Marktstand;Magazinweg 7;Frankfurt a.M. ;;60528;Alemania
11367;BERGS;2;14/8/2018 00:00;11/9/2018 00:00;12/9/2018 00:00;1;$ 8,98;Berglunds snabbköp;Berguvsvägen  8;Luleå;;S-958 22;Suecia
11368;ROMEY;4;14/8/2018 00:00;28/8/2018 00:00;21/8/2018 00:00;1;$ 2,94;Romero y tomillo;Gran Vía, 1;Madrid;;28001;España
11369;ROMEY;4;15/8/2018 00:00;12/9/2018 00:00;21/8/2018 00:00;1;$ 12,69;Romero y tomillo;Gran Vía, 1;Madrid;;28001;España
11370;LILAS;3;16/8/2018 00:00;13/9/2018 00:00;23/8/2018 00:00;3;$ 84,81;LILA-Supermercado;Carrera 52 con Ave. Bolívar #65-98 Llano Largo;Barquisimeto;Lara;3508;Venezuela
11371;LEHMS;4;19/8/2018 00:00;16/9/2018 00:00;27/8/2018 00:00;1;$ 76,56;Lehmanns Marktstand;Magazinweg 7;Frankfurt a.M. ;;60528;Alemania
11372;QUICK;1;20/8/2018 00:00;17/9/2018 00:00;26/8/2018 00:00;2;$ 76,83;QUICK-Stop;Taucherstraße 10;Cunewalde;;1307;Alemania
11373;QUICK;8;21/8/2018 00:00;18/9/2018 00:00;30/8/2018 00:00;3;$ 229,24;QUICK-Stop;Taucherstraße 10;Cunewalde;;1307;Alemania
11374;RICAR;8;22/8/2018 00:00;19/9/2018 00:00;28/8/2018 00:00;3;$ 12,76;Ricardo Adocicados;Av. Copacabana, 267;Río de Janeiro;RJ;02389-890;Brasil
11375;REGGC;4;23/8/2018 00:00;20/9/2018 00:00;3/9/2018 00:00;1;$ 7,45;Reggiani Caseifici;Strada Provinciale 124;Reggio Emilia;;42100;Italia
11376;BSBEV;7;26/8/2018 00:00;23/9/2018 00:00;28/8/2018 00:00;3;$ 22,77;B's Beverages;Fauntleroy Circus;London;;EC2 5NT;Reino Unido
11377;COMMI;8;27/8/2018 00:00;24/9/2018 00:00;3/9/2018 00:00;1;$ 79,70;Comércio Mineiro;Av. dos Lusíadas, 23;São Paulo;SP;05432-043;Brasil
11378;QUEDE;6;27/8/2018 00:00;24/9/2018 00:00;4/9/2018 00:00;2;$ 6,40;Que Delícia;Rua da Panificadora, 12;Río de Janeiro;RJ;02389-673;Brasil
11379;TRADH;1;28/8/2018 00:00;25/9/2018 00:00;2/9/2018 00:00;2;$ 1,35;Tradição Hipermercados;Av. Inês de Castro, 414;São Paulo;SP;05634-030;Brasil
11380;TORTU;1;29/8/2018 00:00;26/9/2018 00:00;11/9/2018 00:00;3;$ 21,18;Tortuga Restaurante;Avda. Azteca 123;México D.F.;;5033;México
11381;RATTC;4;30/8/2018 00:00;27/9/2018 00:00;5/9/2018 00:00;2;$ 147,26;Rattlesnake Canyon Grocery;2817 Milton Dr.;Albuquerque;NM;87110;Estados Unidos
11382;VINET;2;2/9/2018 00:00;30/9/2018 00:00;10/9/2018 00:00;2;$ 1,15;Vins et alcools Chevalier;59 rue de l'Abbaye;Reims;;51100;Francia
11383;LILAS;6;3/9/2018 00:00;1/10/2018 00:00;11/9/2018 00:00;1;$ 0,12;LILA-Supermercado;Carrera 52 con Ave. Bolívar #65-98 Llano Largo;Barquisimeto;Lara;3508;Venezuela
11384;BLONP;5;4/9/2018 00:00;16/10/2018 00:00;10/9/2018 00:00;2;$ 5,74;Blondel père et fils;24, place Kléber;Strasbourg;;67000;Francia
11385;HUNGO;6;5/9/2018 00:00;3/10/2018 00:00;11/9/2018 00:00;2;$ 168,22;Hungry Owl All-Night Grocers;8 Johnstown Road;Cork;Co. Cork;;Irlanda
11386;RICAR;4;6/9/2018 00:00;4/10/2018 00:00;13/9/2018 00:00;2;$ 29,76;Ricardo Adocicados;Av. Copacabana, 267;Río de Janeiro;RJ;02389-890;Brasil
11387;MAGAA;2;9/9/2018 00:00;7/10/2018 00:00;18/9/2018 00:00;2;$ 17,68;Magazzini Alimentari Riuniti;Via Ludovico il Moro 22;Bérgamo;;24100;Italia
11388;WANDK;8;9/9/2018 00:00;7/10/2018 00:00;17/9/2018 00:00;2;$ 45,08;Die Wandernde Kuh;Adenauerallee 900;Stuttgart;;70563;Alemania
11389;SUPRD;4;10/9/2018 00:00;8/10/2018 00:00;9/10/2018 00:00;2;$ 6,27;Suprêmes délices;Boulevard Tirou, 255;Charleroi;;B-6000;Bélgica
11390;GODOS;7;11/9/2018 00:00;9/10/2018 00:00;18/9/2018 00:00;2;$ 107,83;Godos Cocina Típica;C/ Romero, 33;Sevilla;;41101;España
11391;TORTU;1;12/9/2018 00:00;10/10/2018 00:00;17/9/2018 00:00;2;$ 63,79;Tortuga Restaurante;Avda. Azteca 123;México D.F.;;5033;México
11392;OLDWO;8;13/9/2018 00:00;11/10/2018 00:00;9/10/2018 00:00;3;$ 257,62;Old World Delicatessen;2743 Bering St.;Anchorage;AK;99508;Estados Unidos
11393;ROMEY;1;16/9/2018 00:00;14/10/2018 00:00;23/9/2018 00:00;3;$ 7,56;Romero y tomillo;Gran Vía, 1;Madrid;;28001;España
11394;LONEP;2;17/9/2018 00:00;15/10/2018 00:00;25/9/2018 00:00;2;$ 0,56;Lonesome Pine Restaurant;89 Chiaroscuro Rd.;Portland;OR;97219;Estados Unidos
11395;ANATR;7;18/9/2018 00:00;16/10/2018 00:00;24/9/2018 00:00;3;$ 1,61;Ana Trujillo Emparedados y helados;Avda. de la Constitución 2222;México D.F.;;5021;México
11396;HUNGO;3;19/9/2018 00:00;17/10/2018 00:00;23/10/2018 00:00;1;$ 47,30;Hungry Owl All-Night Grocers;8 Johnstown Road;Cork;Co. Cork;;Irlanda
11397;THEBI;8;20/9/2018 00:00;18/10/2018 00:00;27/9/2018 00:00;2;$ 17,52;The Big Cheese;"89 Jefferson Way
Suite 2";Portland;OR;97201;Estados Unidos
11398;DUMON;1;20/9/2018 00:00;4/10/2018 00:00;26/9/2018 00:00;3;$ 24,69;Du monde entier;67, rue des Cinquante Otages;Nantes;;44000;Francia
11399;WANDK;2;23/9/2018 00:00;21/10/2018 00:00;3/10/2018 00:00;2;$ 40,26;Die Wandernde Kuh;Adenauerallee 900;Stuttgart;;70563;Alemania
11400;QUICK;2;24/9/2018 00:00;22/10/2018 00:00;4/10/2018 00:00;2;$ 1,96;QUICK-Stop;Taucherstraße 10;Cunewalde;;1307;Alemania
11401;RATTC;1;25/9/2018 00:00;23/10/2018 00:00;4/10/2018 00:00;2;$ 74,16;Rattlesnake Canyon Grocery;2817 Milton Dr.;Albuquerque;NM;87110;Estados Unidos
11402;ISLAT;4;26/9/2018 00:00;24/10/2018 00:00;3/10/2018 00:00;2;$ 41,76;Island Trading;"Garden House
Crowther Way";Cowes;Isle of Wight;PO31 7PJ;Reino Unido
11403;RATTC;1;27/9/2018 00:00;25/10/2018 00:00;8/10/2018 00:00;3;$ 150,15;Rattlesnake Canyon Grocery;2817 Milton Dr.;Albuquerque;NM;87110;Estados Unidos
11404;LONEP;6;30/9/2018 00:00;28/10/2018 00:00;10/10/2018 00:00;1;$ 12,69;Lonesome Pine Restaurant;89 Chiaroscuro Rd.;Portland;OR;97219;Estados Unidos
11405;ISLAT;8;1/10/2018 00:00;29/10/2018 00:00;4/10/2018 00:00;2;$ 4,73;Island Trading;"Garden House
Crowther Way";Cowes;Isle of Wight;PO31 7PJ;Reino Unido
11406;TORTU;7;2/10/2018 00:00;30/10/2018 00:00;11/10/2018 00:00;3;$ 64,50;Tortuga Restaurante;Avda. Azteca 123;México D.F.;;5033;México
11407;WARTH;5;3/10/2018 00:00;17/10/2018 00:00;18/10/2018 00:00;3;$ 34,57;Wartian Herkku;Torikatu 38;Oulu;;90110;Finlandia
11408;ISLAT;3;3/10/2018 00:00;31/10/2018 00:00;11/10/2018 00:00;2;$ 3,43;Island Trading;"Garden House
Crowther Way";Cowes;Isle of Wight;PO31 7PJ;Reino Unido
11409;PERIC;7;4/10/2018 00:00;1/11/2018 00:00;23/10/2018 00:00;3;$ 0,40;Pericles Comidas clásicas;Calle Dr. Jorge Cash 321;México D.F.;;5033;México
11410;KOENE;4;7/10/2018 00:00;4/11/2018 00:00;14/10/2018 00:00;1;$ 4,88;Königlich Essen;Maubelstr. 90;Brandenburg;;14776;Alemania
11411;SAVEA;9;8/10/2018 00:00;5/11/2018 00:00;10/10/2018 00:00;1;$ 214,27;Save-a-lot Markets;187 Suffolk Ln.;Boise;ID;83720;Estados Unidos
11412;KOENE;1;9/10/2018 00:00;23/10/2018 00:00;14/10/2018 00:00;3;$ 64,86;Königlich Essen;Maubelstr. 90;Brandenburg;;14776;Alemania
11413;BOLID;4;10/10/2018 00:00;7/11/2018 00:00;14/10/2018 00:00;2;$ 77,92;Bólido Comidas preparadas;C/ Araquil, 67;Madrid;;28023;España
11414;FOLKO;2;11/10/2018 00:00;8/11/2018 00:00;14/10/2018 00:00;1;$ 63,36;Folk och fä HB;Åkergatan 24;Bräcke;;S-844 67;Suecia
11415;FURIB;4;14/10/2018 00:00;11/11/2018 00:00;17/10/2018 00:00;3;$ 87,03;Furia Bacalhau e Frutos do Mar;Jardim das rosas n. 32;Lisboa;;1675;Portugal
11416;SPLIR;4;15/10/2018 00:00;26/11/2018 00:00;23/10/2018 00:00;2;$ 191,67;Split Rail Beer & Ale;P.O. Box 555;Lander;WY;82520;Estados Unidos
11417;LILAS;3;16/10/2018 00:00;13/11/2018 00:00;28/10/2018 00:00;1;$ 12,75;LILA-Supermercado;Carrera 52 con Ave. Bolívar #65-98 Llano Largo;Barquisimeto;Lara;3508;Venezuela
11418;BONAP;9;16/10/2018 00:00;27/11/2018 00:00;21/10/2018 00:00;1;$ 10,19;Bon app';12, rue des Bouchers;Marseille;;13008;Francia
11419;MEREP;3;17/10/2018 00:00;28/11/2018 00:00;21/10/2018 00:00;2;$ 52,84;Mère Paillarde;43 rue St. Laurent;Montréal;Québec;H1J 1C3;Canadá
11420;WARTH;5;18/10/2018 00:00;15/11/2018 00:00;25/10/2018 00:00;3;$ 0,59;Wartian Herkku;Torikatu 38;Oulu;;90110;Finlandia
11421;VICTE;8;21/10/2018 00:00;18/11/2018 00:00;28/10/2018 00:00;2;$ 8,56;Victuailles en stock;2, rue du Commerce;Lyon;;69004;Francia
11422;HUNGO;7;22/10/2018 00:00;19/11/2018 00:00;24/10/2018 00:00;2;$ 42,11;Hungry Owl All-Night Grocers;8 Johnstown Road;Cork;Co. Cork;;Irlanda
11423;PRINI;7;23/10/2018 00:00;20/11/2018 00:00;25/10/2018 00:00;2;$ 15,51;Princesa Isabel Vinhos;Estrada da saúde n. 58;Lisboa;;1756;Portugal
11424;FRANK;4;24/10/2018 00:00;21/11/2018 00:00;29/10/2018 00:00;3;$ 108,26;Frankenversand;Berliner Platz 43;München;;80805;Alemania
11425;OLDWO;4;25/10/2018 00:00;22/11/2018 00:00;29/10/2018 00:00;3;$ 84,21;Old World Delicatessen;2743 Bering St.;Anchorage;AK;99508;Estados Unidos
11426;MEREP;2;28/10/2018 00:00;25/11/2018 00:00;4/11/2018 00:00;2;$ 15,66;Mère Paillarde;43 rue St. Laurent;Montréal;Québec;H1J 1C3;Canadá
11427;BONAP;1;29/10/2018 00:00;26/11/2018 00:00;8/11/2018 00:00;3;$ 166,31;Bon app';12, rue des Bouchers;Marseille;;13008;Francia
11428;SIMOB;7;29/10/2018 00:00;26/11/2018 00:00;5/11/2018 00:00;3;$ 26,78;Simons bistro;Vinbæltet 34;København;;1734;Dinamarca
11429;FRANK;4;30/10/2018 00:00;13/11/2018 00:00;4/11/2018 00:00;2;$ 54,83;Frankenversand;Berliner Platz 43;München;;80805;Alemania
11430;LEHMS;4;31/10/2018 00:00;28/11/2018 00:00;6/11/2018 00:00;1;$ 110,37;Lehmanns Marktstand;Magazinweg 7;Frankfurt a.M. ;;60528;Alemania
11431;WHITC;4;1/11/2018 00:00;29/11/2018 00:00;5/11/2018 00:00;2;$ 23,29;White Clover Markets;1029 - 12th Ave. S.;Seattle;WA;98124;Estados Unidos
11432;QUICK;2;4/11/2018 00:00;2/12/2018 00:00;11/11/2018 00:00;2;$ 249,06;QUICK-Stop;Taucherstraße 10;Cunewalde;;1307;Alemania
11433;RATTC;3;5/11/2018 00:00;17/12/2018 00:00;8/11/2018 00:00;3;$ 142,08;Rattlesnake Canyon Grocery;2817 Milton Dr.;Albuquerque;NM;87110;Estados Unidos
11434;FAMIA;4;6/11/2018 00:00;4/12/2018 00:00;8/11/2018 00:00;3;$ 3,10;Familia Arquibaldo;Rua Orós, 92;São Paulo;SP;05442-030;Brasil
11435;WANDK;4;7/11/2018 00:00;5/12/2018 00:00;15/11/2018 00:00;2;$ 0,78;Die Wandernde Kuh;Adenauerallee 900;Stuttgart;;70563;Alemania
11436;SPLIR;7;8/11/2018 00:00;6/12/2018 00:00;15/11/2018 00:00;1;$ 8,63;Split Rail Beer & Ale;P.O. Box 555;Lander;WY;82520;Estados Unidos
11437;LAMAI;6;11/11/2018 00:00;9/12/2018 00:00;3/12/2018 00:00;2;$ 64,19;La maison d'Asie;1 rue Alsace-Lorraine;Toulouse;;31000;Francia
11438;ERNSH;1;11/11/2018 00:00;9/12/2018 00:00;20/11/2018 00:00;1;$ 162,33;Ernst Handel;Kirchgasse 6;Graz;;8010;Austria
11439;FURIB;3;12/11/2018 00:00;26/11/2018 00:00;18/11/2018 00:00;3;$ 1,30;Furia Bacalhau e Frutos do Mar;Jardim das rosas n. 32;Lisboa;;1675;Portugal
11440;PICCO;7;13/11/2018 00:00;11/12/2018 00:00;25/11/2018 00:00;3;$ 360,63;Piccolo und mehr;Geislweg 14;Salzburg;;5020;Austria
11441;PERIC;8;14/11/2018 00:00;12/12/2018 00:00;20/11/2018 00:00;3;$ 53,80;Pericles Comidas clásicas;Calle Dr. Jorge Cash 321;México D.F.;;5033;México
11442;AROUT;6;15/11/2018 00:00;13/12/2018 00:00;20/11/2018 00:00;1;$ 41,95;Around the Horn;"Brook Farm
Stratford St. Mary";Colchester;Essex;CO7 6JX;Reino Unido
11443;WANDK;6;18/11/2018 00:00;16/12/2018 00:00;27/11/2018 00:00;2;$ 36,71;Die Wandernde Kuh;Adenauerallee 900;Stuttgart;;70563;Alemania
11444;LILAS;1;19/11/2018 00:00;17/12/2018 00:00;2/12/2018 00:00;3;$ 34,88;LILA-Supermercado;Carrera 52 con Ave. Bolívar #65-98 Llano Largo;Barquisimeto;Lara;3508;Venezuela
11445;LAMAI;5;20/11/2018 00:00;18/12/2018 00:00;27/11/2018 00:00;1;$ 19,64;La maison d'Asie;1 rue Alsace-Lorraine;Toulouse;;31000;Francia
11446;SEVES;5;21/11/2018 00:00;19/12/2018 00:00;26/11/2018 00:00;3;$ 288,43;Seven Seas Imports;90 Wadhurst Rd.;London;;OX15 4NB;Reino Unido
11447;BLONP;4;22/11/2018 00:00;20/12/2018 00:00;2/12/2018 00:00;3;$ 131,70;Blondel père et fils;24, place Kléber;Strasbourg;;67000;Francia
11448;QUICK;1;22/11/2018 00:00;20/12/2018 00:00;3/12/2018 00:00;2;$ 183,17;QUICK-Stop;Taucherstraße 10;Cunewalde;;1307;Alemania
11449;BONAP;3;25/11/2018 00:00;23/12/2018 00:00;28/11/2018 00:00;1;$ 96,04;Bon app';12, rue des Bouchers;Marseille;;13008;Francia
11450;DRACD;4;26/11/2018 00:00;24/12/2018 00:00;4/12/2018 00:00;3;$ 30,54;Drachenblut Delikatessen;Walserweg 21;Aachen;;52066;Alemania
11451;EASTC;1;26/11/2018 00:00;7/1/2019 00:00;4/12/2018 00:00;1;$ 71,97;Eastern Connection;35 King George;London;;WX3 6FW;Reino Unido
11452;ANTON;3;27/11/2018 00:00;25/12/2018 00:00;2/12/2018 00:00;2;$ 22,00;Antonio Moreno Taquería;Mataderos  2312;México D.F.;;5023;México
11453;GALED;8;28/11/2018 00:00;9/1/2019 00:00;30/12/2018 00:00;2;$ 10,14;Galería del gastronómo;Rambla de Cataluña, 23;Barcelona;;8022;España
11454;VAFFE;7;28/11/2018 00:00;26/12/2018 00:00;2/12/2018 00:00;3;$ 13,55;Vaffeljernet;Smagsløget 45;Århus;;8200;Dinamarca
11455;ERNSH;2;29/11/2018 00:00;27/12/2018 00:00;2/12/2018 00:00;2;$ 101,95;Ernst Handel;Kirchgasse 6;Graz;;8010;Austria
11456;SPLIR;8;2/12/2018 00:00;30/12/2018 00:00;9/12/2018 00:00;2;$ 195,68;Split Rail Beer & Ale;P.O. Box 555;Lander;WY;82520;Estados Unidos
11457;CHOPS;6;3/12/2018 00:00;31/12/2018 00:00;27/12/2018 00:00;2;$ 1,17;Chop-suey Chinese;Hauptstr. 31;Bern;;3012;Suiza
11458;LAMAI;1;3/12/2018 00:00;31/12/2018 00:00;24/12/2018 00:00;1;$ 0,45;La maison d'Asie;1 rue Alsace-Lorraine;Toulouse;;31000;Francia
11459;QUEEN;5;4/12/2018 00:00;1/1/2019 00:00;9/12/2018 00:00;2;$ 890,78;Queen Cozinha;Alameda dos Canàrios, 891;São Paulo;SP;05487-020;Brasil
11460;HUNGO;4;5/12/2018 00:00;2/1/2019 00:00;11/12/2018 00:00;3;$ 124,12;Hungry Owl All-Night Grocers;8 Johnstown Road;Cork;Co. Cork;;Irlanda
11461;WOLZA;1;5/12/2018 00:00;2/1/2019 00:00;9/12/2018 00:00;3;$ 3,94;Wolski Zajazd;ul. Filtrowa 68;Warszawa;;01-012;Polonia
11462;HUNGC;3;6/12/2018 00:00;3/1/2019 00:00;9/12/2018 00:00;2;$ 20,12;Hungry Coyote Import Store;"City Center Plaza
516 Main St.";Elgin;OR;97827;Estados Unidos
11463;MEREP;1;9/12/2018 00:00;6/1/2019 00:00;13/12/2018 00:00;2;$ 20,39;Mère Paillarde;43 rue St. Laurent;Montréal;Québec;H1J 1C3;Canadá
11464;SEVES;1;9/12/2018 00:00;6/1/2019 00:00;13/12/2018 00:00;3;$ 22,21;Seven Seas Imports;90 Wadhurst Rd.;London;;OX15 4NB;Reino Unido
11465;FOLKO;5;10/12/2018 00:00;7/1/2019 00:00;19/12/2018 00:00;3;$ 5,44;Folk och fä HB;Åkergatan 24;Bräcke;;S-844 67;Suecia
11466;QUEDE;2;11/12/2018 00:00;8/1/2019 00:00;13/12/2018 00:00;1;$ 45,03;Que Delícia;Rua da Panificadora, 12;Río de Janeiro;RJ;02389-673;Brasil
11467;HUNGO;8;12/12/2018 00:00;9/1/2019 00:00;16/1/2019 00:00;3;$ 35,03;Hungry Owl All-Night Grocers;8 Johnstown Road;Cork;Co. Cork;;Irlanda
11468;LILAS;3;12/12/2018 00:00;9/1/2019 00:00;13/12/2018 00:00;3;$ 7,99;LILA-Supermercado;Carrera 52 con Ave. Bolívar #65-98 Llano Largo;Barquisimeto;Lara;3508;Venezuela
11469;ERNSH;4;13/12/2018 00:00;10/1/2019 00:00;16/12/2018 00:00;1;$ 94,77;Ernst Handel;Kirchgasse 6;Graz;;8010;Austria
11470;AROUT;8;16/12/2018 00:00;13/1/2019 00:00;18/12/2018 00:00;3;$ 34,24;Around the Horn;"Brook Farm
Stratford St. Mary";Colchester;Essex;CO7 6JX;Reino Unido
11471;BERGS;3;16/12/2018 00:00;13/1/2019 00:00;20/12/2018 00:00;3;$ 168,64;Berglunds snabbköp;Berguvsvägen  8;Luleå;;S-958 22;Suecia
11472;SPLIR;1;17/12/2018 00:00;14/1/2019 00:00;23/12/2018 00:00;2;$ 30,96;Split Rail Beer & Ale;P.O. Box 555;Lander;WY;82520;Estados Unidos
11473;FAMIA;9;18/12/2018 00:00;1/1/2019 00:00;25/12/2018 00:00;3;$ 13,99;Familia Arquibaldo;Rua Orós, 92;São Paulo;SP;05442-030;Brasil
11474;SANTG;1;18/12/2018 00:00;15/1/2019 00:00;20/12/2018 00:00;2;$ 93,63;Santé Gourmet;Erling Skakkes gate 78;Stavern;;4110;Noruega
11475;SEVES;2;19/12/2018 00:00;16/1/2019 00:00;20/12/2018 00:00;1;$ 34,86;Seven Seas Imports;90 Wadhurst Rd.;London;;OX15 4NB;Reino Unido
11476;BOTTM;4;20/12/2018 00:00;17/1/2019 00:00;24/12/2018 00:00;2;$ 47,42;Bottom-Dollar Markets;23 Tsawassen Blvd.;Tsawassen;BC;T2F 8M4;Canadá
11477;ERNSH;6;23/12/2018 00:00;20/1/2019 00:00;26/12/2018 00:00;1;$ 126,38;Ernst Handel;Kirchgasse 6;Graz;;8010;Austria
11478;DRACD;3;23/12/2018 00:00;20/1/2019 00:00;31/12/2018 00:00;3;$ 5,45;Drachenblut Delikatessen;Walserweg 21;Aachen;;52066;Alemania
11479;PICCO;2;24/12/2018 00:00;21/1/2019 00:00;1/1/2019 00:00;3;$ 122,46;Piccolo und mehr;Geislweg 14;Salzburg;;5020;Austria
11480;SAVEA;1;25/12/2018 00:00;22/1/2019 00:00;3/1/2019 00:00;3;$ 126,56;Save-a-lot Markets;187 Suffolk Ln.;Boise;ID;83720;Estados Unidos
11481;HUNGC;1;25/12/2018 00:00;22/1/2019 00:00;3/1/2019 00:00;3;$ 30,34;Hungry Coyote Import Store;"City Center Plaza
516 Main St.";Elgin;OR;97827;Estados Unidos
11482;HILAA;6;26/12/2018 00:00;23/1/2019 00:00;3/1/2019 00:00;1;$ 184,41;HILARIÓN-Abastos;Carrera 22 con Ave. Carlos Soublette #8-35;San Cristóbal;Táchira;5022;Venezuela
11483;FRANK;1;27/12/2018 00:00;10/1/2019 00:00;6/1/2019 00:00;3;$ 135,35;Frankenversand;Berliner Platz 43;München;;80805;Alemania
11484;PRINI;5;27/12/2018 00:00;24/1/2019 00:00;2/1/2019 00:00;1;$ 60,26;Princesa Isabel Vinhos;Estrada da saúde n. 58;Lisboa;;1756;Portugal
